algorithm,size,time
quickselect_median,10001,0.0023939210004755296
quickselect_median,20001,0.004267481999704614
quickselect_median,30001,0.006031824999809032
quickselect_median,40001,0.012509324000347988
quickselect_median,50001,0.011987091000264627
quickselect_median,60001,0.012865314998634858
quickselect_median,70001,0.01705345399932412
quickselect_median,80001,0.030460303998552263
quickselect_median,90001,0.01732399100001203
quickselect_median,100001,0.026369163000708795
quickselect_median,101001,0.02660783499959507
quickselect_median,102001,0.03772112699880381
quickselect_median,103001,0.0350014169998758
quickselect_median,104001,0.02705363700079033
quickselect_median,105001,0.04519784200056165
quickselect_median,106001,0.02385857700028282
quickselect_median,107001,0.03874082299989823
quickselect_median,108001,0.0406309970003349
quickselect_median,109001,0.03745028499906766
quickselect_median,109101,0.03410024799995881
quickselect_median,109201,0.039207195999551914
quickselect_median,109301,0.03248569000061252
quickselect_median,109401,0.023392811001031077
quickselect_median,109501,0.027778377998401993
quickselect_median,109601,0.03729672600093181
quickselect_median,109701,0.0273397129985824
quickselect_median,109801,0.0482928469991748
quickselect_median,109901,0.03976236400012567
median_of_medians_median,10001,0.008516021000104956
median_of_medians_median,20001,0.01911717800066981
median_of_medians_median,30001,0.026169148999542813
median_of_medians_median,40001,0.03290679499878024
median_of_medians_median,50001,0.044773704999897745
median_of_medians_median,60001,0.06048383799861767
median_of_medians_median,70001,0.061875631001385045
median_of_medians_median,80001,0.07191926300038176
median_of_medians_median,90001,0.08121246900009282
median_of_medians_median,100001,0.08962947100008023
median_of_medians_median,101001,0.10335330999987491
median_of_medians_median,102001,0.10320675000002666
median_of_medians_median,103001,0.09975189900069381
median_of_medians_median,104001,0.10115668999969785
median_of_medians_median,105001,0.0985354330005066
median_of_medians_median,106001,0.10145740299958561
median_of_medians_median,107001,0.10295660300107556
median_of_medians_median,108001,0.09982085999945411
median_of_medians_median,109001,0.1011547670004802
median_of_medians_median,109101,0.1028897069991217
median_of_medians_median,109201,0.10426254400044854
median_of_medians_median,109301,0.104570479999893
median_of_medians_median,109401,0.10295991199927812
median_of_medians_median,109501,0.1006248379999306
median_of_medians_median,109601,0.10001329399892711
median_of_medians_median,109701,0.10131329399882816
median_of_medians_median,109801,0.10368264799944882
median_of_medians_median,109901,0.10100273200077936
sampling_and_sorting,10001,0.002186703000916168
sampling_and_sorting,20001,0.00397903599878191
sampling_and_sorting,30001,0.005537193999771262
sampling_and_sorting,40001,0.00919973999953072
sampling_and_sorting,50001,0.009390137000082177
sampling_and_sorting,60001,0.01156940399960149
sampling_and_sorting,70001,0.015846950000195648
sampling_and_sorting,80001,0.018449041999701876
sampling_and_sorting,90001,0.01887095100028091
sampling_and_sorting,100001,0.019850766000672593
sampling_and_sorting,101001,0.019186169000022346
sampling_and_sorting,102001,0.019248575999881723
sampling_and_sorting,103001,0.018985000999236945
sampling_and_sorting,104001,0.019557094001356745
sampling_and_sorting,105001,0.020028669001476374
sampling_and_sorting,106001,0.020460416000787518
sampling_and_sorting,107001,0.020501357001194265
sampling_and_sorting,108001,0.019673463999424712
sampling_and_sorting,109001,0.019246392999775708
sampling_and_sorting,109101,0.019113219999780995
sampling_and_sorting,109201,0.02069143900007475
sampling_and_sorting,109301,0.019573174000470317
sampling_and_sorting,109401,0.019499297999573173
sampling_and_sorting,109501,0.020743138000398176
sampling_and_sorting,109601,0.02181944399853819
sampling_and_sorting,109701,0.02231144500001392
sampling_and_sorting,109801,0.022347882000758545
sampling_and_sorting,109901,0.021474928998941323
